"REF_DATE","GEO","DGUID","Sources of waste for disposal","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Canada","2016A000011124","All sources of waste for disposal","Tonnes","287","units ","0","v42133773","1.1","24081371","","","","0"
"2002","Canada","2016A000011124","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133774","1.2","8446766","","","","0"
"2002","Canada","2016A000011124","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133775","1.3","15634606","","","","0"
"2002","Newfoundland and Labrador","2016A000210","All sources of waste for disposal","Tonnes","287","units ","0","v42133776","2.1","376594","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133777","2.2","216218","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133778","2.3","160376","","","","0"
"2002","Prince Edward Island","2016A000211","All sources of waste for disposal","Tonnes","287","units ","0","v42133779","3.1","","x","","","0"
"2002","Prince Edward Island","2016A000211","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133780","3.2","","x","","","0"
"2002","Prince Edward Island","2016A000211","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133781","3.3","","x","","","0"
"2002","Nova Scotia","2016A000212","All sources of waste for disposal","Tonnes","287","units ","0","v42133782","4.1","389194","","","","0"
"2002","Nova Scotia","2016A000212","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133783","4.2","169649","","","","0"
"2002","Nova Scotia","2016A000212","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133784","4.3","219546","","","","0"
"2002","New Brunswick","2016A000213","All sources of waste for disposal","Tonnes","287","units ","0","v42133785","5.1","413606","","","","0"
"2002","New Brunswick","2016A000213","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133786","5.2","203506","","","","0"
"2002","New Brunswick","2016A000213","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133787","5.3","210100","","","","0"
"2002","Quebec","2016A000224","All sources of waste for disposal","Tonnes","287","units ","0","v42133788","6.1","5846459","","","","0"
"2002","Quebec","2016A000224","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133789","6.2","1875235","","","","0"
"2002","Quebec","2016A000224","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133790","6.3","3971225","","","","0"
"2002","Ontario","2016A000235","All sources of waste for disposal","Tonnes","287","units ","0","v42133791","7.1","9645633","","","","0"
"2002","Ontario","2016A000235","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133792","7.2","3438408","","","","0"
"2002","Ontario","2016A000235","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133793","7.3","6207225","","","","0"
"2002","Manitoba","2016A000246","All sources of waste for disposal","Tonnes","287","units ","0","v42133794","8.1","896556","","","","0"
"2002","Manitoba","2016A000246","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133795","8.2","412612","","","","0"
"2002","Manitoba","2016A000246","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133796","8.3","483944","","","","0"
"2002","Saskatchewan","2016A000247","All sources of waste for disposal","Tonnes","287","units ","0","v42133797","9.1","795124","","","","0"
"2002","Saskatchewan","2016A000247","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133798","9.2","278692","","","","0"
"2002","Saskatchewan","2016A000247","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133799","9.3","516432","","","","0"
"2002","Alberta","2016A000248","All sources of waste for disposal","Tonnes","287","units ","0","v42133800","10.1","2890294","","","","0"
"2002","Alberta","2016A000248","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133801","10.2","866398","","","","0"
"2002","Alberta","2016A000248","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133802","10.3","2023896","","","","0"
"2002","British Columbia","2016A000259","All sources of waste for disposal","Tonnes","287","units ","0","v42133803","11.1","2687882","","","","0"
"2002","British Columbia","2016A000259","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133804","11.2","929101","","","","0"
"2002","British Columbia","2016A000259","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133805","11.3","1758781","","","","0"
"2002","Yukon, Northwest Territories and Nunavut","2016A00016","All sources of waste for disposal","Tonnes","287","units ","0","v42133806","12.1","","x","","","0"
"2002","Yukon, Northwest Territories and Nunavut","2016A00016","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133807","12.2","","x","","","0"
"2002","Yukon, Northwest Territories and Nunavut","2016A00016","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133808","12.3","","x","","","0"
"2004","Canada","2016A000011124","All sources of waste for disposal","Tonnes","287","units ","0","v42133773","1.1","25226766","","","","0"
"2004","Canada","2016A000011124","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133774","1.2","8961583","","","","0"
"2004","Canada","2016A000011124","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133775","1.3","16265183","","","","0"
"2004","Newfoundland and Labrador","2016A000210","All sources of waste for disposal","Tonnes","287","units ","0","v42133776","2.1","400048","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133777","2.2","228004","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133778","2.3","172044","","","","0"
"2004","Prince Edward Island","2016A000211","All sources of waste for disposal","Tonnes","287","units ","0","v42133779","3.1","","x","","","0"
"2004","Prince Edward Island","2016A000211","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133780","3.2","","x","","","0"
"2004","Prince Edward Island","2016A000211","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133781","3.3","","x","","","0"
"2004","Nova Scotia","2016A000212","All sources of waste for disposal","Tonnes","287","units ","0","v42133782","4.1","399967","","","","0"
"2004","Nova Scotia","2016A000212","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133783","4.2","179262","","","","0"
"2004","Nova Scotia","2016A000212","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133784","4.3","220705","","","","0"
"2004","New Brunswick","2016A000213","All sources of waste for disposal","Tonnes","287","units ","0","v42133785","5.1","442173","","","","0"
"2004","New Brunswick","2016A000213","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133786","5.2","208120","","","","0"
"2004","New Brunswick","2016A000213","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133787","5.3","234053","","","","0"
"2004","Quebec","2016A000224","All sources of waste for disposal","Tonnes","287","units ","0","v42133788","6.1","6454000","","","","0"
"2004","Quebec","2016A000224","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133789","6.2","2209000","","","","0"
"2004","Quebec","2016A000224","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133790","6.3","4245000","","","","0"
"2004","Ontario","2016A000235","All sources of waste for disposal","Tonnes","287","units ","0","v42133791","7.1","9809264","","","","0"
"2004","Ontario","2016A000235","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133792","7.2","3489917","","","","0"
"2004","Ontario","2016A000235","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133793","7.3","6319347","","","","0"
"2004","Manitoba","2016A000246","All sources of waste for disposal","Tonnes","287","units ","0","v42133794","8.1","928117","","","","0"
"2004","Manitoba","2016A000246","Residential sources of waste for disposal","Tonnes","287","units ","0","v42133795","8.2","450658","","","","0"
"2004","Manitoba","2016A000246","Non-residential sources of waste for disposal","Tonnes","287","units ","0","v42133796","8.3","477459","","","","0"
